2016	3309	3655	6244	-3291	-3039	2785	7011	743	6193	
-4935	-1487	9202	1962	1198	5796	-6865	2744	9521	-4385	
4510	1984	-8267	4299	2059	-6931	724	1728	6384	2657	
5272	-2749	1703	-5427	-8019	-5335	-7158	2013	704	-1830	
4489	-9814	7507	3697	-4153	-5165	-8448	-3553	-3726	-5498	
-5593	-8592	-3331	-6537	-9034	6661	-6052	-1037	180	4256	
9147	4623	-3221	-6305	-7046	5689	8272	9311	-5943	-3280	
4367	-4543	7932	8528	1143	7658	-5844	-91	-5664	-7323	
-854	5889	-4587	163	-4960	2728	-3743	-1725	-7610	-6648	
2202	8172	1182	-5401	9157	7575	173	3700	7620	-4887	
950	-7873	1827	-898	-972	-187	5467	-8158	3123	2948	
9504	9176	5068	8653	4846	4317	-9924	-2089	-3061	2631	
-97	-7345	-4392	8104	9998	-5555	2905	-3506	5779	-6013	
863	1516	-7452	6831	1679	7123	388	-7825	-4879	9946	
9201	-7756	-7050	-5858	715	-3090	1286	9442	8611	7079	
9286	-3209	1851	-1555	1123	-7658	-6625	9319	9469	-8086	
-3040	-1336	-2445	7852	2281	-4479	3591	-4954	7936	881	
4333	-1223	-5381	-7272	8725	1497	-7173	5705	3347	1909	
618	3006	5671	-5867	3821	-1659	5294	5533	-3834	4663	
-1787	-626	-6616	-2071	-4780	8876	3735	9084	9023	-1222	
4284	-2832	4772	8096	-61	-3979	7922	-3665	7857	-5759	
4263	-7909	-8059	-546	6019	4711	5449	-9189	-306	-4257	
-4107	-7806	2723	6366	1472	1578	-1672	-9040	4132	771	
-501	722	-7827	814	-5686	-8682	-8386	-5969	-321	7970	
-3744	1147	-5450	-6152	-2329	-2708	9357	-4848	-9244	4755	
-9129	-8479	-1280	2796	-9844	5214	4092	-5587	-7279	3037	
162	-8775	-4673	-1068	-8441	-8879	-3597	6268	5664	4842	
-9263	-7432	-4195	-6406	5366	7534	-378	3883	2265	-1005	
