2489	-3558	3184	9347	-8802	-5820	-1490	-3796	-5857	2825	
-8584	-54	-3752	-8658	5388	15	9487	-652	5718	5294	
6058	7683	-9001	9039	-1542	4883	5121	-3604	4948	-8425	
606	2219	6721	-5146	-5647	4727	-7253	7847	-6988	-6499	
-5384	-8200	-2048	5313	5107	8315	-4885	-2405	2117	6302	
1612	6450	-8893	7430	-9318	-9838	2337	4119	-7054	9357	
4740	-7039	5367	9260	8277	9194	-7596	-6673	2002	-5611	
-9795	-5943	990	-9011	-3020	7665	5657	-4048	-4377	-1242	
5450	-7494	1110	-7485	1272	9580	8018	8827	1240	8441	
5217	-7407	-6943	-3443	-481	-6506	-1285	-8198	-7682	-8513	
-7562	3073	-1202	-6717	-6665	-8615	-6025	-5938	9581	959	
9475	-955	-9854	6651	-7783	311	5709	-4566	804	1211	
8516	-3731	-1070	9932	2606	-9394	8536	-5634	3415	7210	
5171	8411	-3395	1343	-2455	9695	4199	9395	6638	6412	
597	6302	6882	-4757	3314	8086	-8648	8224	-4666	1941	
-6414	7656	5832	6953	-5400	-5710	5233	-8137	-6105	-1481	
3947	-2067	8822	4983	9353	1603	-109	7121	-5616	9133	
-1412	-609	-2797	8256	4298	-2068	8252	-4610	24	6611	
8550	6272	801	3573	-7832	-5697	2663	407	-3220	-8962	
-8656	9557	3357	-3368	9419	-6841	4350	6402	-8943	-8529	
8856	8252	-4186	-2021	4300	2105	-9346	-7779	-90	-8024	
-5956	-9372	6834	7135	3958	1239	2088	99	-9164	8110	
7267	8599	6103	6221	5360	-1090	-681	8574	9474	8558	
-4635	9418	-7166	5331	-1489	5619	899	-1955	6850	6865	
-7788	5256	5481	-4569	-1906	4518	-8013	-4639	-6643	75	
8723	3469	5244	-2764	1153	6899	-3671	7892	4062	7378	
8311	2397	-460	-5512	4498	-1785	-676	2813	7518	7489	
9241	7933	-9720	-2575	2818	-6320	-2818	-183	-8002	-7640	
-1702	-6487	-8633	4934	-1735	7402	-8624	6074	-4213	-4210	
-1661	-3723	2307	6274	-4445	-3188	7885	5676	6032	7276	
735	3223	4489	724	3720	-2888	-1684	-9997	8774	-9251	
1433	5183	-9964	-9263	-5227	1967	-6785	1262	-23	-8170	
7930	-865	7498	-9540	4424	7281	1076	9339	5910	-1866	
-304	-8173	7307	-6379	-9707	-1750	-4521	-2895	-1014	-2236	
-7191	6644	5098	-4518	-2115	-8488	-4224	-3238	5330	-8397	
9937	-1189	3418	1948	-199	8380	-6422	-1122	1357	-9448	
-9935	4536	-4512	71	38	-2002	9249	-2156	2842	7536	
4769	5494	-404	-5116	-6413	8622	-613	-5838	9292	5756	
3414	5517	-630	7646	-5105	-2151	7857	-3833	-8593	-4707	
5072	-5545	-9757	-9945	-1021	1820	9555	-5866	8593	9733	
-9645	6088	3157	-1537	179	-4992	3066	6862	-2031	-1005	
8159	-6582	9294	2096	1114	3603	8318	7529	2713	-142	
