4358	2104	3938	-9055	-3334	740	4960	-6410	-2643	-2755	
2409	-1359	6855	-267	-4998	3435	1271	6179	-2452	7441	
7946	4392	7833	5597	-1350	188	8766	-816	5854	9146	
-1124	-4594	1247	-1115	-359	-9451	-4054	-9675	-3516	-6981	
-7999	6017	5173	8004	-5651	-4022	-9870	-2371	8110	7426	
4814	-6216	2002	-2312	9099	-5084	6020	-8383	-5663	-6616	
-2980	6053	-7017	-5348	-2539	6019	-3506	6499	-2789	3969	
1790	3113	5059	8788	-1737	4150	-6091	1288	-695	3308	
-4508	-4564	6239	4866	-2978	4350	1702	7005	-7170	-5457	
-212	328	-8769	6546	-6940	3312	1611	9894	6374	4639	
9714	3037	5106	8051	790	8104	-5131	281	-445	2914	
-6748	2027	-5540	5782	-411	-6204	5136	-467	3598	-5412	
8908	2872	-8571	5093	1034	9686	-9402	4960	6279	-3934	
-1469	6620	-2670	605	-3579	-2004	-6049	5139	-4303	8228	
-3332	6605	-6874	8400	5147	-2222	-7997	8177	3566	-8070	
4966	501	-3503	-3023	-3634	369	-6527	-6843	5058	30	
4587	-2164	5098	-3506	-6241	-7052	-5221	8809	-158	-2872	
9457	-2616	-4829	3708	-4140	717	-7195	-9514	-4643	-7043	
5275	1529	-6318	-100	-9677	4303	4973	5027	7401	8050	
9307	-3360	2908	-8585	-5664	-6294	6109	-2665	4215	-3138	
-7709	-4965	5591	-8069	4540	-3804	-8622	-5096	7230	7157	
7319	-9155	9052	3645	-2825	6724	-3756	-4987	-7004	9965	
3653	594	-7819	-7880	-6595	-5769	-3033	5251	3152	-4070	
4286	-2048	2342	-3903	-4311	-6447	1899	-1959	7971	5251	
-7190	8195	-8875	-9212	8819	-6245	2488	-1181	-7399	3303	
-4167	515	2745	-616	-1514	-7749	-6604	-8288	-3387	2477	
1149	6000	-5005	-2207	-7954	-6932	7017	-1091	181	7214	
9419	6723	9260	1748	-9637	3079	-1402	5767	-5638	7307	
2981	-7319	9614	-8455	841	7802	-3073	6493	8323	1542	
7900	-2947	5287	-9170	3611	1077	-5504	-7182	-4323	2483	
-5219	-2312	-1489	9580	2985	2684	5869	761	5881	-3499	
705	-910	-3042	3391	9993	6405	9722	5449	1847	-4366	
8847	-7939	-4974	1574	-4141	584	-1287	-590	-9280	-1082	
-6232	1480	-6072	5707	-5933	850	-5467	-5264	9519	-1522	
-2994	3736	7024	7370	-3034	157	-499	-2376	-4977	5724	
8416	9902	-3172	-3750	-2007	285	-2652	-719	-4942	1451	
-3535	-1828	-9363	-6609	-5160	-293	3546	1897	5860	-8030	
7557	-4005	5419	-4124	-3636	6120	-3326	-8872	-7267	2408	
3756	-3003	-3906	-9563	-5267	7024	-4345	-1099	-2210	7134	
-1495	5588	-3207	9256	-8206	-739	-9101	-1029	-24	1892	
9097	6952	563	-1100	4755	9647	1848	1632	-3562	7138	
8095	-5528	4822	-71	3798	-6070	168	-9870	-8978	-4510	
-1787	9123	-1885	-3424	-4038	9886	-6214	6917	828	5119	
9059	9145	9594	3765	-8675	2347	8459	6827	1080	-4570	
1190	3121	-2506	-403	4208	-9844	-1269	9683	-1585	7286	
-3100	-7655	6941	4339	68	2949	9721	6098	7560	3419	
-5448	2333	7884	3867	8825	-9571	-1593	-4362	6805	-8404	
-7662	-3154	6229	5240	-2810	2250	-3170	-2895	578	9010	
1863	2448	-8788	-275	7627	-7613	6991	-5259	-8998	1817	
5090	-3340	9994	-6073	1002	-5795	-438	7124	-4267	4169	
3287	-3897	3431	-5748	-7128	-5237	-7181	-2317	-8828	-2627	
1247	-3875	9332	82	3465	595	-7854	679	6408	-8955	
7200	8774	-3637	771	-9802	2385	6462	4660	-9901	-4433	
3404	-3881	-2412	6640	-1282	-3916	4579	-5985	-8896	-3139	
-2137	7747	3493	-1466	-9479	4817	3617	-3586	7223	-9454	
-940	6121	5329	365	7751	-9444	2464	-5327	9903	9525	
2614	7840	878	2740	-3151	-7493	664	-7847	3882	-9178	
2099	2395	3882	-1672	6040	-6366	4699	4034	2199	8387	
-3268	9657	7287	3446	3343	-1438	3450	1620	-7859	3833	
-3970	594	-3175	5565	5856	5141	-6479	-4389	-1380	-2415	
9920	5174	-8241	-6334	5169	1648	4061	-5306	6526	-2888	
5423	-235	-3897	3376	1524	1149	5695	-775	-9816	1407	
319	1277	8146	1664	-6690	-8903	4711	-1555	9880	-4667	
8492	-1074	-1590	6946	1400	-6235	2976	-7297	-2216	324	
